2026-03-16 05:05:49.375 | INFO     | __main__:setup_logging:48 - Starting recon phase with run_id: e6950bb7-6eed-45aa-aa29-46eef9d0ee2d
2026-03-16 05:05:51.597 | INFO     | cyberAI.utils.browser:initialize:82 - Browser pool initialized
2026-03-16 05:05:51.600 | INFO     | cyberAI.recon.core_discovery:crawl:426 - Starting crawl from https://example.com (role: None)
2026-03-16 05:05:51.647 | DEBUG    | cyberAI.utils.browser:get_browser_context:170 - Created browser context for role: None
2026-03-16 05:05:51.851 | INFO     | cyberAI.recon.core_discovery:crawl:450 - Crawling [0]: https://example.com
2026-03-16 05:05:54.591 | DEBUG    | cyberAI.utils.browser:take_screenshot:307 - Screenshot saved: outputs/recon/screenshots/home_0.png
2026-03-16 05:05:54.597 | DEBUG    | cyberAI.utils.browser:dump_dom:329 - DOM snapshot saved: outputs/recon/dom_snapshots/home_0.html
2026-03-16 05:05:54.816 | INFO     | cyberAI.recon.core_discovery:crawl:466 - Crawl complete. Discovered 1 routes.
2026-03-16 05:05:54.869 | INFO     | cyberAI.recon.core_discovery:save_routes:548 - Saved 1 routes to outputs/recon/intelligence/routes.json
2026-03-16 05:05:54.869 | INFO     | cyberAI.recon.sensitive_surfaces:probe_all_paths:354 - Probing 136 sensitive paths...
2026-03-16 05:05:55.074 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /admin: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.275 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /billing/: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.276 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /export: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.276 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /exports: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.276 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /import: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.276 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /billing: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.276 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /internal/: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.276 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /internal: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.276 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /administrator: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.276 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /admin/: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.478 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /imports: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.679 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /audit/logs: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:05:55.679 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /graphql/playground: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
