2026-03-16 05:03:13.225 | INFO     | __main__:setup_logging:48 - Starting recon phase with run_id: 861ae942-f3ee-4bc9-9a67-0f569048bb96
2026-03-16 05:03:20.851 | INFO     | cyberAI.utils.browser:initialize:82 - Browser pool initialized
2026-03-16 05:03:20.854 | INFO     | cyberAI.recon.core_discovery:crawl:426 - Starting crawl from https://example.com (role: None)
2026-03-16 05:03:21.214 | DEBUG    | cyberAI.utils.browser:get_browser_context:170 - Created browser context for role: None
2026-03-16 05:03:21.448 | INFO     | cyberAI.recon.core_discovery:crawl:450 - Crawling [0]: https://example.com
2026-03-16 05:03:24.197 | DEBUG    | cyberAI.utils.browser:take_screenshot:307 - Screenshot saved: outputs/recon/screenshots/home_0.png
2026-03-16 05:03:24.204 | DEBUG    | cyberAI.utils.browser:dump_dom:329 - DOM snapshot saved: outputs/recon/dom_snapshots/home_0.html
2026-03-16 05:03:24.238 | WARNING  | cyberAI.recon.core_discovery:crawl:463 - Error processing https://example.com: "Route" object has no field "raw_state"
2026-03-16 05:03:24.238 | INFO     | cyberAI.recon.core_discovery:crawl:466 - Crawl complete. Discovered 0 routes.
2026-03-16 05:03:24.278 | INFO     | cyberAI.recon.core_discovery:save_routes:548 - Saved 0 routes to outputs/recon/intelligence/routes.json
2026-03-16 05:03:24.278 | INFO     | cyberAI.recon.sensitive_surfaces:probe_all_paths:354 - Probing 136 sensitive paths...
2026-03-16 05:03:24.481 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /admin: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:24.682 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /export: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:24.684 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /exports: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:24.684 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /import: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:24.684 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /internal/: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:24.684 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /billing: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:24.684 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /internal: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:24.684 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /billing/: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:24.684 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /administrator: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:24.684 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /admin/: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:24.886 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /imports: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:25.087 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /audit/logs: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:25.089 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /graphql/: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:25.089 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /graphql/playground: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:25.089 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /audit-logs: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
2026-03-16 05:03:25.089 | DEBUG    | cyberAI.recon.sensitive_surfaces:probe_path:334 - Error probing /audit: AsyncClient.__init__() got an unexpected keyword argument 'proxies'
